Report Level 3,SRR9606996,SRR9606997,SRR9606998,SRR9606999,SRR9607000,SRR9607001,SRR9607002,SRR9607003,SRR9607024,SRR9607025,SRR9607028,SRR9607029,SRR9607030,SRR9607031,SRR9607032,SRR9607033,SRR9607034,SRR9607039,SRR9607040,SRR9607041,SRR9607042,SRR9607043,SRR9607044,SRR9607085,SRR9607086,SRR9607089,SRR9607090,SRR9607091,SRR9607092,SRR9607175,SRR9607176
GABA,16.108718885709926,15.8705986617066,16.529647283761864,16.95538917413779,16.327083828860072,16.510973941068034,16.72763784904272,15.971380862141807,15.61737670569478,16.694743738312457,17.066856273024534,15.874508949498813,16.843974202103407,16.376043271918114,16.203130658872006,16.296140571332668,16.484663678088886,15.939514990826984,16.22656923199845,16.71927974028113,16.450848242890043,16.63672192781276,16.807573517419833,16.138678276957677,16.44096147216586,16.536884225876168,15.49754370671977,16.589585240422636,16.207427807559167,16.791099427048763,16.742166509658254
Serotonin,11.083112756444475,10.635203700139074,11.8858175714074,12.148695353153089,12.02452808722741,11.888803321895153,12.373020092539031,11.06301939234072,10.504095472904998,12.054367240693546,12.232691961687538,10.782355239401097,12.175802046951464,11.843704866314239,11.283640604991707,11.777805037555952,12.290242349404,10.79312913332541,11.241462863659745,12.408643352189953,12.13958604444886,12.275604941550435,12.044064796194345,11.369425532114942,11.82136028366064,12.447387131599198,10.001044730212561,11.741388992805808,11.66135515693137,12.326730803636966,12.199488223854619
Tryptophan,16.841582935331086,16.74989901721272,17.261914096990466,17.60851611133544,16.758050555520093,17.115794817248243,17.745867632947622,16.639487650286732,16.2900345885135,17.536980469882728,17.689393833062905,16.643287152750922,17.569732242100983,17.088165125327546,17.092597782934124,17.047992827707773,17.16022849929259,16.685974817251648,16.87794005087572,17.23110006429679,17.258042378578867,17.375995137832714,17.504643724105602,16.96286792229301,17.00119380959624,17.21577597242367,16.228823491957325,17.24446144584485,16.973916272705754,17.379516070452404,17.437360625946223
Trimethylamine N-oxide (TMAO),13.494015517480296,13.217129212557875,15.413789548882969,14.250870555709064,14.202001348764307,14.512762063568564,14.017535718317426,13.570357379616985,12.737887412790466,15.68363861772391,14.162514065914964,13.8195015426594,14.853851439058072,14.92294856106245,14.96748701212735,14.670481986700969,14.947607261957483,13.08163156138309,14.118155128299458,14.9864260462088,15.48340265599284,14.727396148914371,14.864518433199196,14.989709367560257,14.838447592548459,14.599529342957368,12.808813383694574,14.567758855597939,14.839591578390916,15.006583804860238,15.005120991628885
Indole & Indole Derivatives,9.540438053902724,10.137016736986597,11.556084488558348,10.926169957334919,12.32179001785622,13.448383494225029,10.259849167269964,12.169411450877316,11.298005271305621,11.046646571089832,8.71218305120923,9.7309116243181,11.846105417299253,12.511349927542415,12.291726139358508,11.486990844319351,13.687273973788924,10.245635890556704,9.92066547990858,14.40935115539511,12.317245834910082,11.903362201233922,11.855872934417063,10.351425153146922,13.207543638439045,12.232555836239737,11.325007439755133,11.016432246732139,12.857635048861777,12.7167058756983,12.185244025842488
Cysteine Derivatives,16.918083740396938,16.490821895974218,17.52236553378204,17.724900148117147,16.971436811763994,17.076701901021565,17.474219434377982,16.65964891398137,16.495950281329275,17.71996105776336,17.78515610795554,16.750275128328074,17.641286101963853,17.273009360936378,16.90077071785788,17.138555258858865,17.306961650802304,16.762031341044498,16.989594448807697,17.35911656117158,17.370361854518688,17.548833480430098,17.656501859149092,17.161444446173576,17.021342454663877,17.511394266906542,16.43807321695101,17.33137783262086,17.100814685240223,17.574087090932665,17.704338078803893
Bile Acid Pool,14.915329255813555,12.732929494883427,15.641742023078011,16.573355101522004,15.196263619000424,16.08992927924774,13.416766525687867,14.95201179939,14.589690057094948,15.452316700624309,16.71024351088737,14.410325799241642,16.310994704493822,15.3475990511876,14.095869217137922,15.669501160596885,15.929795042239311,14.82814268388101,15.323361448254804,16.40299520846141,15.483390058973622,16.00143843349177,16.260176205811682,14.755731540725224,15.943715678309536,15.561118011508446,13.757527000550095,16.019183914049854,15.434638000194672,16.51558234968915,16.056818569814475
Imidazole Propionate,14.00298432196525,15.322168289251103,14.818577184756823,16.57666286276768,15.290166241756214,16.389101479701228,17.224385555212006,15.464107923467228,14.813623217480103,14.998377993831344,16.582980389774278,13.835873420707236,15.855089079440063,15.503047005354265,15.33866001937288,15.772166950992172,16.127291363708412,13.298829175327738,14.857465281346311,16.854500992597316,15.142013159376662,15.968416005048052,16.02276975654822,14.71487154796395,16.539319081455375,15.84952434317087,13.885110388246357,16.20332926556562,15.670864965661087,16.6684243759913,16.090638580638064
Oxidative stress,10.806828870430696,10.779035349005037,13.383770877900746,11.550910281556602,13.534110335970219,11.945406049271057,11.814860123936477,11.122950909776732,10.76391221126919,12.968716591951221,11.439463827721411,11.074297567828438,11.554584055476045,12.480265122054464,11.971251357062666,12.500261797554497,12.259999184034076,9.680558726516201,12.217626572863146,10.949250392891054,13.110565963890966,12.151659295873326,11.58462118219603,11.989876973330203,11.371889170162664,13.000122092059232,10.487300730787236,11.226087007844999,11.779429350859603,12.523285862299378,11.753254362406386
Branched Chain Amino Acids,16.143890306390915,15.734350190194052,16.762854303612357,16.911277438712382,16.1734742098635,16.4906295632925,17.056709643817335,15.988253897319536,15.612730972349615,16.903965258543987,16.9621125785707,15.993953369441309,16.948243526452526,16.464997212669694,16.331548666157786,16.495263929429825,16.55787953087987,15.957149816891114,16.21679315228235,16.605910232325623,16.614494949185435,16.66784639958242,16.814644629973856,16.364337600108648,16.391581988550556,16.592013134692504,15.50533437916331,16.5615120554086,16.400264399124282,16.734557347115988,16.719632582704953
