Report Level 3,SRR9606838,SRR9606839,SRR9606840,SRR9606841,SRR9606842,SRR9606843,SRR9606844,SRR9606845,SRR9606846,SRR9606847,SRR9606906,SRR9606907,SRR9606908,SRR9606909,SRR9606910,SRR9606911,SRR9606912,SRR9606913,SRR9606914,SRR9606915,SRR9606928,SRR9606929,SRR9606930,SRR9606931,SRR9606932,SRR9606933,SRR9606934,SRR9606935,SRR9606936,SRR9606994,SRR9606995
GABA,15.929441926731958,16.185345819176888,15.210928985656682,16.73867953889058,15.726407404833013,17.115025016721045,16.601582690234398,15.676342046547317,16.35507915616455,15.817114019220293,15.756260826443352,16.151550579002247,16.51751037753727,16.86855964401031,15.928699584398633,16.514992219761865,16.74949074487089,16.76743862289216,15.23781103938582,16.921618444398643,16.36621530603579,16.958763915011005,16.749475863357734,16.911251984715896,16.498946378914873,17.230897466326756,15.333439709350866,15.991139358959607,16.640687329329,16.62426719709223,16.984657934935335
Serotonin,10.949365601923642,11.188988652952537,9.046542626190798,12.193665311148164,10.431226799296414,12.668716999766222,12.621697807685129,10.501250336412904,11.992115772620613,10.456075604038237,10.417221514213734,11.478074592729637,12.093840076803886,12.272423279367368,10.907061830341856,11.970169609434663,12.098983737133203,12.366288660266413,9.290594196971009,12.217512616545285,11.071141072385817,12.511229779703681,12.175261419470823,12.272976713166479,11.832997619066376,12.79948955054471,9.605585817990523,11.14824121937993,11.817399937446766,11.902594064907987,12.271387068477726
Tryptophan,16.60477073463327,16.84139989888677,16.023724528545294,17.43694482679484,16.50739722813862,17.685460965567017,17.230980301345763,16.39780727104291,16.931190290107867,16.688808703007815,16.492865522004806,16.78422975016531,17.121798606611883,17.613087940133425,16.64593896153234,17.271559847212767,17.413246989792928,17.50681555858306,16.064565898322346,17.6694293171375,16.947976330842778,17.555956100501454,17.369131636831483,17.60926735318843,17.292887768186024,17.78710155602314,16.080410992172965,16.808367595399062,17.38286487271488,17.338416013177913,17.62048512203466
Trimethylamine N-oxide (TMAO),13.532838041918165,14.024403835613942,12.69883703795,15.213239807765195,13.985702320335747,14.771907237590991,15.404230181563882,14.128800696190163,13.835892502326265,13.191531191086442,12.987248021521644,13.89486606702075,14.997352396350196,14.987270230572245,13.638465328740057,15.070400229912341,14.78702253675207,14.411501719567022,13.25493707030047,15.158871176658078,13.834439446241772,14.973378535648171,14.607625065076464,15.537496281887831,15.16757808793747,14.11287521438146,13.07126290556565,14.724691301370573,15.436339045049015,14.105753037366643,14.37382150766916
Indole & Indole Derivatives,11.96750727595357,9.938315200729791,8.498051366035302,11.392848674689818,9.507992798984928,9.887083499603557,14.36223151665563,10.561392968777184,13.011344329848884,9.826278353899939,11.081503410660188,12.465987214509955,14.120409616529221,12.662617199431068,11.815535403254058,13.34629071871219,12.255716106342634,11.181686489436341,8.58014548442338,12.047546568025375,11.383315489927405,11.190503750240907,12.585903796297583,11.340985010726914,13.257629450306453,9.161383860111991,8.9946080076399,11.152468653778357,13.321943592504757,10.086308754136,13.766926381750674
Cysteine Derivatives,16.62952576137606,16.934172740449867,16.233261055371052,17.371810652750607,16.638763175862092,18.029895185751588,17.408827986296608,16.549142217650022,17.155528939739675,16.454386438817316,16.560233615659577,17.34269343603701,17.256671750425966,17.660072335743184,16.647174148625147,17.38076711828848,17.568295963859764,17.63001682189378,16.295384645177524,17.780876501399586,16.95468878960374,17.68581809765939,17.659464118291805,17.79988598272273,17.398555444689645,18.171608640232385,16.346603171668466,16.88743654653313,17.41067955368542,17.4945012877483,17.65433467113344
Bile Acid Pool,14.898175043548665,15.23621081448532,11.78910158685014,15.571435952825968,14.381380381981696,16.847351452709496,15.946167814261713,14.284316971739191,16.129539209428973,12.577172698606153,14.441497615018225,15.701176348177196,16.155079692454915,16.171008357396083,14.77648700912145,15.68948263116003,16.057764697814108,16.15856048128216,11.762955016208414,16.299278147691695,15.979580268674967,16.606308837982223,16.071908631495567,16.180487781477844,15.682096184666328,17.034834043175156,13.023345462472031,14.510437509825119,15.70086909227302,15.45123397579131,16.311679942154196
Imidazole Propionate,15.358298402065568,14.803971987161523,13.031238273867306,16.520513000378845,14.255299094046448,17.026863299899123,15.906841598561135,14.109965566068995,16.30110078934599,15.186645090790162,12.641783848614386,16.02742211079217,16.4826388668155,15.572325413374042,15.184055537779823,16.100736520759494,16.07387907633555,16.487419687823675,11.591123329650365,14.89096056278031,16.138401006480922,16.839517276394787,16.0395761049774,16.319700106052522,15.973076980781787,17.339530041641183,13.021027391543461,14.370680596486004,15.345924955788446,15.311638824655533,16.370737574047784
Oxidative stress,10.931426961279277,12.077721438641815,9.353587949195417,11.16051013016307,10.967411231901034,12.8275961064086,14.2921085419952,12.143578780943695,11.735979039613404,10.533362148773532,9.82651146611718,10.890583489289323,10.775832469958779,11.745423616101212,10.940205886579472,12.693703280197111,12.482203758387024,11.902148969013208,9.625154851388368,12.807936471776532,10.510958656599872,13.342245088788923,11.886227487774464,13.319472678278695,12.149487798435839,11.370890775425384,10.408948830887061,11.786742020672305,13.010040248426039,11.729544273591403,12.477214371096387
Branched Chain Amino Acids,15.945613767816239,16.144356854008926,15.200494694248292,16.733410218117385,15.84021233518756,17.065992247716487,16.735976836287335,15.827526304674322,16.25629949369367,15.688698349378079,15.72669181186413,16.05579992139077,16.44069784875532,16.991492652862124,15.987410213012016,16.703203940264597,16.769426233899146,16.888106475688605,15.383209722231895,17.011652732887303,16.19150626001147,16.899726164998402,16.607939833449755,17.02262001660249,16.658743969719136,17.087879195886938,15.398346117905545,16.167911700284353,16.79576019273188,16.689485907209143,16.94789235454192
