Report Level 3,BM000075,BM000076,BM000077,BM000078,BM000079,BM000080,BM000081,BM000082,BM000083,BM000084,BM000085,BM000086,BM000087,BM000088,BM000089,BM000090,BM000933,BM000934,BM000935,BM000936,BM000937
THINK_WELL,5.0,7.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,8.0,7.0,10.0,4.0,8.0,7.0,8.0,8.0,8.0,1.0,7.0,7.0
LIVE_WELL,7.0,7.0,7.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0,8.0,5.0,6.0,7.0,6.0,4.0,6.0,4.0,5.0,7.0
FEEL_WELL,7.0,7.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,2.0,8.0,7.0,7.0,8.0,5.0,2.0,5.0,7.0
