Report Level 3,BM000455,BM000456,BM000457,BM000458,BM000459,BM000460
THINK_WELL,5.0,4.0,7.0,8.0,1.0,7.0
LIVE_WELL,6.0,4.0,4.0,6.0,4.0,6.0
FEEL_WELL,7.0,1.0,7.0,8.0,1.0,7.0
