Report Level 3,BM000174,BM000175,BM000176,BM000177,BM000178
THINK_WELL,5.0,4.0,5.0,7.0,1.0
LIVE_WELL,4.0,4.0,5.0,5.0,4.0
FEEL_WELL,8.0,7.0,7.0,8.0,1.0
