Report Level 3,BM001246,BM001247,BM001248,BM001249,BM001250
THINK_WELL,4.0,1.0,5.0,1.0,8.0
LIVE_WELL,6.0,4.0,5.0,5.0,7.0
FEEL_WELL,5.0,1.0,7.0,2.0,8.0
