Report Level 3,BM000311,BM000312,BM000313,BM000314,BM000315,BM000316,BM000317,BM000318,BM000319,BM000320,BM000321,BM000322
THINK_WELL,8.0,10.0,8.0,1.0,1.0,7.0,1.0,7.0,5.0,2.0,5.0,8.0
LIVE_WELL,6.0,7.0,7.0,3.0,3.0,7.0,4.0,5.0,8.0,9.0,6.0,5.0
FEEL_WELL,8.0,7.0,8.0,1.0,1.0,7.0,1.0,5.0,5.0,2.0,5.0,8.0
