Report Level 3,BM000890,BM000891,BM000892,BM000893,BM000894,BM000895,BM000896,BM000897,BM000898,BM000899,BM000900,BM000901,BM000902,BM000903,BM000904,BM000905,BM000906,BM000907,BM000908,BM000909,BM000910,BM000911,BM000912,BM000913,BM000914,BM000915
THINK_WELL,7.0,1.0,8.0,1.0,8.0,7.0,5.0,2.0,8.0,7.0,8.0,2.0,2.0,8.0,8.0,5.0,5.0,1.0,1.0,4.0,2.0,10.0,5.0,7.0,1.0,8.0
LIVE_WELL,6.0,5.0,6.0,4.0,9.0,6.0,6.0,4.0,5.0,5.0,6.0,9.0,6.0,5.0,7.0,6.0,8.0,6.0,4.0,6.0,6.0,4.0,7.0,5.0,4.0,4.0
FEEL_WELL,7.0,1.0,7.0,1.0,7.0,5.0,5.0,1.0,8.0,8.0,8.0,5.0,4.0,8.0,7.0,7.0,7.0,1.0,1.0,4.0,1.0,7.0,7.0,7.0,1.0,5.0
