Report Level 3,BM001401,BM001402,BM001403,BM001404,BM001405,BM001406,BM001407
THINK_WELL,7.0,2.0,2.0,1.0,4.0,5.0,4.0
LIVE_WELL,5.0,5.0,4.0,3.0,6.0,4.0,5.0
FEEL_WELL,5.0,1.0,4.0,1.0,2.0,7.0,1.0
