Report Level 3,BM000199,BM000200,BM000201,BM000202,BM000203,BM000204,BM000205,BM000206,BM000207,BM000208,BM000209,BM000210,BM000211
THINK_WELL,7.0,7.0,5.0,7.0,8.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,8.0
LIVE_WELL,7.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0
FEEL_WELL,7.0,5.0,7.0,5.0,7.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0
