Report Level 3,BM000244,BM000245,BM000246,BM000247,BM000248,BM000249,BM000250,BM000251,BM000252,BM000253,BM000254,BM000255,BM000256,BM000257,BM000258,BM000259,BM000260,BM000261,BM000262,BM000263,BM000264,BM000265,BM000266
THINK_WELL,7.0,7.0,10.0,7.0,7.0,7.0,5.0,8.0,5.0,5.0,10.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,10.0
LIVE_WELL,4.0,5.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,7.0,8.0,7.0,6.0,7.0,5.0,5.0,6.0,4.0,7.0,4.0,6.0,6.0,7.0
FEEL_WELL,7.0,7.0,8.0,7.0,7.0,5.0,7.0,5.0,5.0,7.0,8.0,7.0,8.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0
