Report Level 3,BM000179,BM000180,BM000181,BM000182,BM000183,BM000184
THINK_WELL,7.0,2.0,5.0,5.0,7.0,5.0
LIVE_WELL,5.0,7.0,4.0,6.0,5.0,5.0
FEEL_WELL,7.0,5.0,7.0,7.0,7.0,7.0
