Report Level 3,BM000916,BM000917,BM000918,BM000919,BM000920,BM000921,BM000922,BM000923,BM000924,BM000925,BM000926,BM000927,BM000928,BM000929,BM000930,BM000931,BM000932
THINK_WELL,10.0,5.0,5.0,7.0,8.0,10.0,8.0,4.0,8.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0
LIVE_WELL,7.0,6.0,8.0,6.0,6.0,9.0,9.0,4.0,9.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,4.0
FEEL_WELL,8.0,4.0,4.0,4.0,7.0,7.0,7.0,5.0,8.0,5.0,7.0,5.0,7.0,7.0,7.0,8.0,5.0
