Report Level 3,BM001072,BM001073,BM001074,BM001075,BM001076
THINK_WELL,5.0,1.0,1.0,5.0,1.0
LIVE_WELL,6.0,4.0,4.0,4.0,4.0
FEEL_WELL,7.0,1.0,1.0,7.0,1.0
