Report Level 3,BM000354,BM000355,BM000356,BM000357,BM000358,BM000359,BM000360,BM000361,BM000362,BM000363,BM000364,BM000365,BM000366,BM000367,BM000368,BM000369,BM000370,BM000371,BM000372,BM000373,BM000374,BM000375,BM000376
THINK_WELL,1.0,1.0,8.0,7.0,5.0,4.0,7.0,8.0,7.0,5.0,7.0,7.0,8.0,8.0,10.0,5.0,4.0,5.0,5.0,5.0,7.0,8.0,7.0
LIVE_WELL,5.0,3.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,3.0,6.0,6.0,6.0,5.0,8.0,7.0
FEEL_WELL,1.0,1.0,5.0,7.0,8.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,4.0,7.0
