Report Level 3,BM001077,BM001078,BM001079,BM001080,BM001081,BM001082,BM001083,BM001084,BM001085
THINK_WELL,5.0,1.0,10.0,5.0,7.0,7.0,5.0,5.0,5.0
LIVE_WELL,6.0,3.0,8.0,4.0,6.0,9.0,7.0,6.0,4.0
FEEL_WELL,7.0,1.0,8.0,7.0,7.0,5.0,5.0,5.0,7.0
