Report Level 3,BM000385,BM000386,BM000387,BM000388,BM000389,BM000390,BM000391,BM000392,BM000393,BM000394,BM000395,BM000396,BM000397,BM000398,BM000399,BM000400,BM000401,BM000402,BM000403,BM000404,BM000405,BM000406,BM000407,BM000408,BM000409,BM000410,BM000411,BM000412,BM000413,BM000414,BM000415,BM000416
THINK_WELL,1.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,8.0,5.0,10.0,7.0,5.0,4.0,8.0,2.0,7.0,5.0,5.0,4.0,5.0,8.0,1.0,7.0,5.0,7.0,1.0,7.0,5.0,5.0,5.0,5.0
LIVE_WELL,4.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,4.0,7.0,4.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,6.0,4.0,5.0,7.0
FEEL_WELL,1.0,2.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,8.0,5.0,1.0,7.0,5.0,7.0,5.0,7.0,2.0,7.0,5.0,2.0,7.0,5.0,5.0,1.0,7.0,5.0,7.0,7.0,5.0
