Report Level 3,BM000212,BM000213,BM000214,BM000216,BM000217,BM000218,BM001006
THINK_WELL,1.0,5.0,2.0,4.0,1.0,4.0,7.0
LIVE_WELL,3.0,4.0,4.0,4.0,4.0,5.0,7.0
FEEL_WELL,1.0,7.0,2.0,4.0,1.0,5.0,7.0
