Report Level 3,BM000113,BM000114,BM000115,BM000116,BM000117,BM000118,BM000119,BM000120,BM000121,BM000122,BM000123,BM000124,BM000125,BM000126,BM000127,BM000128
THINK_WELL,7.0,8.0,2.0,4.0,7.0,5.0,5.0,1.0,7.0,5.0,5.0,1.0,7.0,8.0,2.0,5.0
LIVE_WELL,6.0,6.0,4.0,5.0,7.0,4.0,7.0,6.0,7.0,4.0,5.0,4.0,8.0,4.0,3.0,6.0
FEEL_WELL,5.0,8.0,1.0,1.0,7.0,5.0,8.0,1.0,7.0,5.0,8.0,1.0,8.0,5.0,1.0,7.0
