Report Level 3,BM000152,BM000153,BM000154,BM000155,BM000156,BM000157,BM000158,BM000159,BM000160,BM000161,BM000162,BM000163,BM000164
THINK_WELL,7.0,5.0,5.0,10.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,4.0,8.0
LIVE_WELL,5.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,4.0,4.0,6.0
FEEL_WELL,4.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0
