Report Level 3,BM001251,BM001252,BM001253,BM001254,BM001255,BM001256,BM001257,BM001258,BM001259,BM001260,BM001261,BM001262,BM001263,BM001264
THINK_WELL,5.0,5.0,2.0,7.0,4.0,5.0,5.0,7.0,8.0,5.0,5.0,1.0,4.0,5.0
LIVE_WELL,6.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,7.0,4.0,4.0,3.0,3.0,4.0
FEEL_WELL,7.0,5.0,2.0,5.0,4.0,7.0,7.0,5.0,7.0,5.0,7.0,2.0,4.0,7.0
