Report Level 3,BM001698,BM001699,BM001700,BM001701,BM001702,BM001703,BM001704,BM001705,BM001706,BM001707,BM001708,BM001709,BM001710,BM001711,BM001712,BM001713
THINK_WELL,5.0,7.0,5.0,8.0,7.0,7.0,10.0,4.0,5.0,7.0,2.0,7.0,8.0,5.0,10.0,7.0
LIVE_WELL,4.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,4.0,3.0,8.0,6.0,6.0,6.0
FEEL_WELL,7.0,5.0,7.0,8.0,7.0,5.0,7.0,5.0,5.0,7.0,4.0,7.0,5.0,7.0,5.0,7.0
