"","Think_well","Live_well","Feel_well"
"BM000382","4","5","1"
"BM000383","5","5","7"
"BM000384","5","6","7"
"BM000385","1","4","1"
"BM000386","5","5","2"
"BM000387","5","5","7"
"BM000388","8","4","7"
"BM000389","5","6","5"
"BM000390","5","4","5"
"BM000391","5","6","7"
"BM000392","5","6","7"
"BM000393","8","6","7"
"BM000394","5","6","7"
"BM000395","10"," 5"," 7"
"BM000396","7","6","8"
"BM000397","5","6","5"
"BM000398","4","4","1"
"BM000399","8","6","7"
"BM000400","2","4","5"
"BM000401","7","7","7"
"BM000402","5","4","5"
"BM000403","5","6","7"
"BM000404","4","7","2"
"BM000405","5","7","7"
"BM000406","8","6","5"
"BM000407","1","6","2"
"BM000408","7","6","7"
"BM000409","5","5","5"
"BM000410","7","5","5"
"BM000411","1","4","1"
"BM000412","7","7","7"
"BM000413","5","6","5"
"BM000414","5","4","7"
"BM000415","5","5","7"
"BM000416","5","7","5"
"BM000417","5","8","8"
"BM000418","4","6","4"
"BM000419","8","7","7"
"BM000420","7","9","5"
"BM000421","7","9","7"
"BM000422","10"," 8"," 8"
"BM000423","8","5","5"
"BM000424","8","6","7"
"BM000425","10","10"," 8"
"BM000426","7","8","7"
"BM000427","7","6","7"
"BM000428","7","5","7"
"BM000429","10"," 9"," 8"
"BM000430","4","8","5"
"BM000431","7","7","7"
"BM000432","7","6","5"
"BM000433","7","9","8"
"BM000434","7","6","5"
"BM000435","7","9","7"
"BM000436","10"," 9"," 8"
"BM000437","7","7","5"
"BM000438","1","4","2"
"BM000439","8","9","7"
"BM000440","7","7","7"
"BM000441","10"," 8"," 8"
"BM000442","1","4","1"
"BM000443","5","6","5"
"BM000444","7","6","5"
"BM000445","5","8","5"
"BM000446","10"," 7"," 8"
"BM000447","2","8","2"
"BM000448","8","6","7"
"BM000449","2","6","1"
"BM000450","1","5","2"
"BM000451","8","8","8"
"BM000452","7","6","5"
"BM000453","10"," 8"," 7"
"BM000454","4","4","4"
"BM000455","5","6","7"
"BM000456","4","4","1"
"BM000457","7","4","7"
"BM000458","8","6","8"
"BM000459","1","4","1"
"BM000460","7","6","7"
"BM000461","1","5","1"
"BM000462","4","5","2"
"BM000463","1","6","1"
"BM000464","1","4","1"
"BM000465","7","7","7"
"BM000466","8","7","8"
"BM000467","2","6","1"
"BM000468","7","6","4"
"BM000469","4","4","1"
"BM000470","7","7","7"
"BM000471","5","5","5"
"BM000472","10"," 7"," 7"
"BM000473","8","7","7"
"BM000474","8","6","7"
"BM000475","10"," 7"," 7"
"BM000476","4","6","4"
"BM000477","8","7","7"
"BM000478","8","6","8"
"BM000479","5","8","7"
"BM000480","7","8","7"
"BM000481","5","6","7"
"BM000482","4","8","1"
"BM000483","7","5","5"
"BM000484","7","8","5"
"BM000485","5","6","5"
"BM000486","8","7","5"
"BM000487","7","8","5"
"BM000488","1","4","1"
"BM000489","8","5","7"
"BM000490","7","9","5"
"BM000491","4","6","1"
"BM000492","4","5","4"
"BM000493","2","6","1"
"BM000494","7","8","5"
"BM000495","5","6","7"
"BM000496","10"," 6"," 7"
"BM000497","7","4","7"
"BM000498","7","5","7"
"BM000499","8","8","7"
"BM000500","1","4","1"
"BM000501","8","5","7"
"BM000075","5","7","7"
"BM000076","7","7","7"
"BM000077","7","7","8"
"BM000078","8","6","8"
"BM000079","7","4","7"
"BM000080","7","4","7"
"BM000081","5","6","5"
"BM000082","5","5","5"
"BM000083","5","5","5"
"BM000084","8","5","7"
"BM000085","7","6","5"
"BM000086","10"," 8"," 7"
"BM000087","4","5","2"
"BM000088","8","6","8"
"BM000089","7","7","7"
"BM000090","8","6","7"
"BM000933","8","4","8"
"BM000934","8","6","5"
"BM000935","1","4","2"
