"","GABA","Serotonin","Tryptophan","meta2$Cohort"
"BM000175",16.73945,11.78943,17.87476,"AMILI"
"BM000179",16.75988,12.03729,17.77871,"AMILI"
"BM000186",16.74356,12.0472,17.69779,"AMILI"
"BM000201",16.92516,12.31511,17.83177,"AMILI"
"BM000214",16.54796,12.28595,17.34826,"AMILI"
"BM000217",16.1035,11.2764,17.08209,"AMILI"
"BM000219",16.71838,12.07313,17.67589,"AMILI"
"BM000227",16.55749,11.94856,17.56795,"AMILI"
"BM000228",16.66236,12.24364,17.63213,"AMILI"
"BM000235",16.60072,12.12308,17.43654,"AMILI"
"BM000236",16.73959,12.33564,17.77291,"AMILI"
"BM000242",16.51969,11.80121,17.47421,"AMILI"
"BM000244",16.77679,12.08573,17.71279,"AMILI"
"BM000252",16.61619,12.45338,17.53293,"AMILI"
"BM000256",16.70225,12.36834,17.63866,"AMILI"
"BM000258",16.88052,12.08176,17.74842,"AMILI"
"BM000263",16.79314,12.52693,17.76045,"AMILI"
"BM000269",16.65545,12.3429,17.64719,"AMILI"
"BM000275",16.97374,12.55626,17.74984,"AMILI"
"BM000276",16.7111,11.91401,17.68939,"AMILI"
"BM000279",16.72074,12.68759,17.66993,"AMILI"
"BM000280",16.85746,12.8911,17.77148,"AMILI"
"BM000285",16.3542,12.2214,17.31073,"AMILI"
"BM000288",16.54069,12.27563,17.44508,"AMILI"
"BM000292",16.83283,12.11462,17.7039,"AMILI"
"BM000297",16.45994,11.55649,17.41382,"AMILI"
"BM000304",16.67116,11.97207,17.67705,"AMILI"
"BM000311",16.65938,11.87533,17.65647,"AMILI"
"BM000314",16.44433,11.67423,17.38677,"AMILI"
"BM000317",16.39331,11.45127,17.35798,"AMILI"
"BM000325",16.5678,12.65138,17.49571,"AMILI"
"BM000326",16.64559,12.32492,17.54726,"AMILI"
"BM000334",16.6908,12.1573,17.63614,"AMILI"
"BM000339",16.80433,12.43506,17.76647,"AMILI"
"BM000048",17.00303,12.00156,17.79588,"AMILI"
"BM000051",16.80837,12.00204,17.73188,"AMILI"
"BM000053",16.74317,12.03632,17.70086,"AMILI"
"BM000055",16.56376,11.54841,17.59564,"AMILI"
"BM000056",16.81308,11.77628,17.77695,"AMILI"
"BM000057",16.8279,12.05219,17.77087,"AMILI"
"BM000058",16.60919,11.99902,17.44522,"AMILI"
"BM000070",16.44863,11.35364,17.45982,"AMILI"
"BM000360",16.73224,11.94239,17.71842,"AMILI"
"BM000363",16.88046,12.16249,17.71808,"AMILI"
"BM000366",16.69252,12.02892,17.67178,"AMILI"
"BM000372",16.79155,11.89222,17.70235,"AMILI"
"BM000380",16.688,12.17095,17.57385,"AMILI"
"BM000387",16.84763,12.20218,17.70924,"AMILI"
"BM000388",16.75377,11.95088,17.64816,"AMILI"
"BM000392",16.82632,12.16203,17.66748,"AMILI"
"BM000394",16.82423,11.80804,17.60572,"AMILI"
"BM000396",16.77,11.94902,17.6683,"AMILI"
"BM000400",16.55806,12.16613,17.42789,"AMILI"
"BM000404",16.5099,11.68776,17.5875,"AMILI"
"BM000415",17.09776,12.6346,17.78469,"AMILI"
"BM000416",16.83179,12.35347,17.77877,"AMILI"
"BM000420",16.60796,11.93832,17.55147,"AMILI"
"BM000424",16.67939,11.98926,17.68554,"AMILI"
"BM000426",16.62902,11.8303,17.5327,"AMILI"
"BM000431",16.75887,12.1419,17.59517,"AMILI"
"BM000435",16.64117,11.74795,17.59831,"AMILI"
"BM000439",16.63498,11.88732,17.59489,"AMILI"
"BM000444",16.74699,12.06778,17.66883,"AMILI"
"BM000445",16.58581,11.71676,17.5942,"AMILI"
"BM000454",16.57469,11.70054,17.52174,"AMILI"
"BM000456",16.46969,12.05462,17.30399,"AMILI"
"BM000458",16.66557,11.86656,17.63508,"AMILI"
"BM000460",16.8212,12.00443,17.82056,"AMILI"
"BM000462",16.55599,12.0677,17.47412,"AMILI"
"BM000469",16.5329,11.93814,17.2495,"AMILI"
"BM000475",16.69152,12.07173,17.6127,"AMILI"
"BM000476",16.57678,11.87961,17.4303,"AMILI"
"BM000478",16.67001,12.27144,17.57618,"AMILI"
"BM000483",16.74731,12.15382,17.6481,"AMILI"
"BM000485",16.59223,11.97963,17.46203,"AMILI"
"BM000495",16.83791,12.23889,17.68097,"AMILI"
"BM000496",16.69006,12.0623,17.55293,"AMILI"
"BM000499",16.63705,11.97743,17.53068,"AMILI"
"BM000079",16.72265,11.88695,17.75388,"AMILI"
"BM000081",16.8016,12.11867,17.81705,"AMILI"
"BM000082",16.7445,12.12077,17.83886,"AMILI"
"BM000085",16.76388,11.98254,17.74018,"AMILI"
"BM000087",16.52457,11.74723,17.6035,"AMILI"
"BM000089",16.69641,11.87942,17.69224,"AMILI"
"BM000597",16.74845,12.36325,17.70742,"AMILI"
"BM000601",16.74694,12.05394,17.73226,"AMILI"
"BM000610",16.84175,12.49206,17.6704,"AMILI"
"BM000612",16.59557,11.91809,17.524,"AMILI"
"BM000613",16.27701,11.28381,17.29815,"AMILI"
"BM000619",16.78965,12.41182,17.7443,"AMILI"
"BM000620",16.54592,12.2781,17.39698,"AMILI"
"BM000623",16.58843,12.06114,17.5483,"AMILI"
"BM000632",16.21063,11.61328,16.9745,"AMILI"
"BM000635",16.83426,11.93577,17.83486,"AMILI"
"BM000638",16.88655,12.30769,17.82874,"AMILI"
"BM000646",16.68833,12.01228,17.70604,"AMILI"
"BM000648",16.74779,11.70653,17.71825,"AMILI"
"BM000649",16.68557,11.75277,17.70363,"AMILI"
"BM000654",16.69773,11.8916,17.59817,"AMILI"
"BM000657",16.57646,11.62681,17.63706,"AMILI"
